m,k,f,p,q,Cliente (Por usuario),Servidor (Estimar frecuencias),Media de errores,Error porcentual,MSE,RMSE,MSE (Normalizado),RMSE (Normalizado),Coeficiente correlacion Pearson
16,1,0.5,0.5,0.75,0.0094 ms,356.7209 ms,23332.42,4.67%,4404018432.28,66362.78,22383.37,149.61,0.7974
16,2,0.5,0.5,0.75,0.0103 ms,350.1508 ms,3926.89,0.79%,23616092.93,4859.64,120.03,10.96,0.8059
16,8,0.5,0.5,0.75,0.0275 ms,348.7728 ms,10934.73,2.19%,218537208.72,14783.00,1110.71,33.33,0.8394
16,32,0.5,0.5,0.75,0.2876 ms,359.1962 ms,8256.33,1.65%,305884232.10,17489.55,1554.65,39.43,0.9425
16,64,0.5,0.5,0.75,1.1642 ms,376.7619 ms,19809.57,3.96%,2356144295.48,48540.13,11975.08,109.43,-0.1498
64,1,0.5,0.5,0.75,0.0314 ms,1259.7759 ms,23356.90,4.67%,4418888258.63,66474.72,22458.95,149.86,0.7974
64,2,0.5,0.5,0.75,0.0322 ms,1255.9581 ms,1330.88,0.27%,3734087.62,1932.38,18.98,4.36,0.8207
64,8,0.5,0.5,0.75,0.0493 ms,1246.2239 ms,775.30,0.16%,1002331.37,1001.17,5.09,2.26,0.8220
64,32,0.5,0.5,0.75,0.3141 ms,1247.7219 ms,430.14,0.09%,429842.89,655.62,2.18,1.48,0.8191
64,64,0.5,0.5,0.75,1.1832 ms,1259.4380 ms,435.36,0.09%,549690.75,741.41,2.79,1.67,0.8172
128,1,0.5,0.5,0.75,0.0610 ms,2457.6943 ms,23230.30,4.65%,4342320644.68,65896.29,22069.80,148.56,0.7974
128,2,0.5,0.5,0.75,0.0620 ms,2451.7698 ms,941.11,0.19%,1673550.41,1293.66,8.51,2.92,0.8174
128,8,0.5,0.5,0.75,0.0791 ms,2443.9161 ms,631.77,0.13%,771631.40,878.43,3.92,1.98,0.8218
128,32,0.5,0.5,0.75,0.3424 ms,2435.5068 ms,395.25,0.08%,250669.74,500.67,1.27,1.13,0.8169
128,64,0.5,0.5,0.75,1.2124 ms,2458.1549 ms,333.24,0.07%,235078.22,484.85,1.19,1.09,0.8193
512,1,0.5,0.5,0.75,0.2337 ms,9697.1409 ms,23270.83,4.65%,4366741762.25,66081.33,22193.92,148.98,0.7974
512,2,0.5,0.5,0.75,0.2370 ms,9659.9059 ms,859.87,0.17%,1972988.51,1404.63,10.03,3.17,0.8091
512,8,0.5,0.5,0.75,0.2536 ms,9638.4468 ms,609.13,0.12%,835055.20,913.81,4.24,2.06,0.8206
512,32,0.5,0.5,0.75,0.5165 ms,9641.1283 ms,405.17,0.08%,238397.56,488.26,1.21,1.10,0.8164
512,64,0.5,0.5,0.75,1.3897 ms,9623.8241 ms,227.83,0.05%,92162.36,303.58,0.47,0.68,0.8173
